entity_id,stratum,period,hclass,has_role_b,pop_n,sample_n,weight
as1-1383c8922ddf6abe#1,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-0dd25b0357532601#5,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-393e6e91cc4d30ad#7,1918-1930|F|role,1918-1930,F,role,4328,25,173.12
as1-2bf84fcaaddae135#9,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-cbdb110a4a70de64#2,1918-1930|M|norole,1918-1930,M,norole,7060,25,282.4
as1-5e78e7b7d5a2a204#3,1900-1915|N|role,1900-1915,N,role,29026,25,1161.04
as1-a95dc70c018d416e#6,1918-1930|N|role,1918-1930,N,role,25598,25,1023.92
as1-5c928e1aca5251f1#0,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-0d9eeaf0373012ff#0,1948-1963|M|norole,1948-1963,M,norole,11211,25,448.44
as1-4b243f90fbd30f47#13,1933-1945|F|norole,1933-1945,F,norole,36949,25,1477.96
as1-407ba375c36b8b6f#0,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-59aadff1b914f46d#5,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
as1-7d987bd093f8c728#2,1933-1945|N|role,1933-1945,N,role,29947,25,1197.88
as1-8741705ce945bf31#8,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-57bd22ae5860410b#3,1900-1915|N|role,1900-1915,N,role,29026,25,1161.04
as1-c4aef4156f1cb0af#32,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-0ff1a68fa4dd35d1#29,1933-1945|N|role,1933-1945,N,role,29947,25,1197.88
as1-8c421fa0d93131f1#0,1933-1945|M|norole,1933-1945,M,norole,6736,25,269.44
as1-7a602f1b78ea439f#23,1918-1930|M|norole,1918-1930,M,norole,7060,25,282.4
as1-b8fb1154f352375a#3,1900-1915|N|norole,1900-1915,N,norole,190443,25,7617.72
as1-693896e6580cc651#4,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
as1-87999dadcc7b9036#52,1918-1930|M|norole,1918-1930,M,norole,7060,25,282.4
as1-999febe804795dc4#2,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-4006bf1e2cbce669#1,1918-1930|N|role,1918-1930,N,role,25598,25,1023.92
as1-706fc07321b8692b#24,1900-1915|F|role,1900-1915,F,role,3076,25,123.04
as1-6ef73c2d923360e6#1,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-380ce1bf207321e0#0,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-20582e220f89202b#1,1933-1945|N|role,1933-1945,N,role,29947,25,1197.88
as1-82ff30e7a5d8aa11#0,1918-1930|F|role,1918-1930,F,role,4328,25,173.12
as1-f6489df40870b507#8,1948-1963|F|role,1948-1963,F,role,6926,25,277.04
as1-d72426a558b08976#0,1918-1930|N|role,1918-1930,N,role,25598,25,1023.92
as1-c258bb966040510c#7,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
as1-ab8becd66f703e12#0,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-905e837010f4fab6#8,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-7cf2d5a996b12c32#24,1948-1963|F|role,1948-1963,F,role,6926,25,277.04
as1-43a4ca660acb4d85#1,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-77d6d0e907125040#2,1933-1945|N|role,1933-1945,N,role,29947,25,1197.88
as1-5495ffec2b508285#0,1948-1963|N|role,1948-1963,N,role,34482,25,1379.28
as1-6db1845fd345a410#0,1933-1945|F|role,1933-1945,F,role,5572,25,222.88
as1-9f828c448b30a4c2#22,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
